ARCHER	a single full-body standing archer of the Korean Three Kingdoms era (Later Baekje, 10th century), lamellar armor vest over dark robe, conical iron helmet, holding a Korean composite recurve bow vertically in his left hand close to the body, arrow quiver on his back, arms close to the torso, neutral straight front view, whole figure visible head to feet with generous margin, isolated object only, nothing else in the image
CAVALRY	a single heavily armored Korean Three Kingdoms cavalryman (gaema musa) riding a fully armored war horse with lamellar horse barding and horse head armor, rider holds a long lance upright, horse standing still on four legs, side 3/4 view, entire horse and rider visible with margin
GYEONHWON	a heroic Korean king-general (Gyeon Hwon of Later Baekje, 10th century) riding a powerful black armored war horse in full gallop with legs extended, ornate dark lamellar armor with gold trim, crested iron helmet with a long red plume, long crimson cape flowing behind, holding a long guan dao glaive raised forward, dynamic side 3/4 view, entire horse and rider visible with margin
WALL_SEG	a single isolated straight segment of a Korean mountain fortress stone wall (sanseong), fitted granite blocks, crenellated stone parapet with loopholes on top, block-shaped modular piece about three times longer than tall, 3/4 elevated view, entire piece visible with margin
GATE_TOWER	a single isolated Korean fortress main gate: massive stone base with an arched stone gateway opening and wooden doors, topped by a two-story wooden gate pavilion with curved grey tile roofs and upturned eaves, 3/4 elevated view, entire structure visible with margin
BASTION	a single isolated square protruding Korean fortress stone bastion (chi) with crenellated parapet and a small single-story wooden guard pavilion with a curved tile roof on top, 3/4 elevated view, entire structure visible with margin
WATCHTOWER	a single tall wooden military watchtower on four log stilts with cross bracing, a ladder, a railed lookout platform and a small hip roof, ancient Korean style, 3/4 view, entire structure visible with margin
TENT	a single large ancient Korean military command tent of pale canvas on wooden poles with ropes and pegs, a tall banner pole beside it, 3/4 elevated view, entire object visible with margin
PALISADE	a single short straight section of an ancient wooden palisade fence made of sharpened upright logs lashed together with a horizontal support beam, 3/4 view, entire piece visible with margin
WAR_DRUM	a single large ancient Korean barrel war drum mounted on a sturdy wooden frame stand with two drumsticks, 3/4 view, entire object visible with margin
CART	a single ancient Korean wooden two-wheeled supply cart loaded with tied grain sacks and bundles of spears, no animal, 3/4 view, entire object visible with margin
TREBUCHET	a single ancient East Asian traction trebuchet siege engine made of timber with a long throwing arm and pulling ropes, 3/4 view, entire object visible with margin
CHEVAL	a single ancient wooden anti-cavalry barrier (cheval de frise) made of a horizontal log with crossed sharpened stakes, 3/4 view, entire object visible with margin
